id,name,department_id,department_name,specialization_condition
1,رياضيات,1,الرياضيات,٣٠٪ من عدد الطلاب والأولوية لأعلى الدرجات بالفصل الأول
2,علوم الحاسب,1,الرياضيات,٣٥٪ من عدد الطلاب والأولوية لأعلى الدرجات بالفصل الأول
3,إحصاء رياضي,1,الرياضيات,٣٥٪ من عدد الطلاب والأولوية لأعلى الدرجات بالفصل الأول
4,فيزياء منفرد,2,الفيزياء,٣٠٪ - ٤٠٪ من عدد الطلاب كحد أقصى
5,فيزياء - حاسب,2,الفيزياء,٤٠٪ من عدد الطلاب كحد أقصى
6,فيزياء - كيمياء,2,الفيزياء,٤٠٪ من عدد الطلاب كحد أقصى
7,كيمياء أساسي,3,الكيمياء,لا توجد شروط
8,كيمياء تطبيقية,3,الكيمياء,لا توجد شروط
9,برنامج النبات (منفرد),4,البيولوجي,النجاح في مقرري BOTA101 - BOTA102 بمعدل لا يقل عن (C)
10,النبات - كيمياء,4,البيولوجي,بحد اقصي 100 طالب باولوية المعدل التراكمي
11,برنامج علم الحيوان (منفرد),4,البيولوجي,أفضل ١٠ طلاب متقدمين
12,علم الحيوان - كيمياء,4,البيولوجي,أفضل ١٠٠ طالب متقدم بشرط النجاح في مقرري ZOOL101 - ZOOL102 و GPA (٢.٠٠)
13,برنامج علم الحشرات (منفرد),4,البيولوجي,تقدير عام جيد (C) و GPA (٢.٣٣)  بحد اقصي 20 طالب - اجتياز ENTM102
14,علم الحشرات الطبية,4,البيولوجي,تقدير عام جيد (C) و GPA (٢.٣٣)  بحد اقصي 20 طالب - اجتياز ENTM102
15,علم الحشرات - كيمياء,4,البيولوجي,أفضل ١٠٠ طالب متقدم بشرط النجاح في مقرر ENTM102
16,برنامج الكيمياء الحيوية (منفرد),4,البيولوجي,لا يقل GPA عن (٣.٢) بعد أقصى 50 طالب
17,الكيمياء الحيوية - كيمياء,4,البيولوجي,لا يقل GPA عن (٣.٢) بعد أقصى 70 طالب
18,برنامج الميكروبيولوجي (منفرد),4,البيولوجي,أفضل 20 متقدم على ألا يقل المعدل التراكمي عن B وعدد النقاط ٣
19,الميكروبيولوجي - كيمياء,4,البيولوجي,أفضل ٥٠ طالب متقدم
20,الجيولوجيا (منفرد),5,الجيولوجيا,الحاصلين على تقدير عام جيد (+C) بنقاط (2.67) كحد أدنى
21,جيولوجيا - كيمياء,5,الجيولوجيا,لا توجد شروط
22,جيولوجيا - جيوفيزياء,5,الجيولوجيا,مش موجود في استماره الشروط كبرنامج اختياري لكنه موجود في اللايحه فغالبا اتقفل
,,,,
,,,,
,,,,
,,,,
